Last Name,First Name,Display Name,Begin Date,End Date,Display Date,City,State,Country,Subcontinent,Continent,ConstituentID,latitude,longitude,geonameId,WhitneyUrl,"[latitude,longitude]",
Schnakenberg,Henry,Henry Schnakenberg,1892,1970,1892-1970,New York City,New York,United States of America,Central North America,North America,1180,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1180"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Schreiber,Georges,Georges Schreiber,1904,1979,1904-1979,Brussels,,Belgium,Western Europe,Europe,1186,50.85045,4.34878,2800866,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1186"">Whitney.org</a>","[50.85045,4.34878]","[50.85045,4.34878]"
Shahn,Ben,Ben Shahn,1898,1969,1898-1969,Kaunas,,Lithuania,Northern Europe,Europe,1203,54.9,23.9,598316,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1203"">Whitney.org</a>","[54.9,23.9]","[54.9,23.9]"
Sheeler,Charles,Charles Sheeler,1883,1965,1883-1965,Philadelphia,Pennsylvania,United States of America,Central North America,North America,1209,39.95234,-75.16379,4560349,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1209"">Whitney.org</a>","[39.95234,-75.16379]","[39.95234,-75.16379]"
Sheets,Millard,Millard Sheets,1907,1989,1907-1989,Pomona,California,United States of America,Central North America,North America,1210,34.05529,-117.75228,5384170,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1210"">Whitney.org</a>","[34.05529,-117.75228]","[34.05529,-117.75228]"
Shiff,Madeline,Madeline Shiff,1895,1966,1895-1966,Denver,Colorado,United States of America,Central North America,North America,1214,39.73915,-104.9847,5419384,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1214"">Whitney.org</a>","[39.73915,-104.9847]","[39.73915,-104.9847]"
Shinn,Everett,Everett Shinn,1876,1953,1876-1953,Woodstown,New Jersey,United States of America,Central North America,North America,1215,39.6515,-75.32825,4504946,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1215"">Whitney.org</a>","[39.6515,-75.32825]","[39.6515,-75.32825]"
Simkhovitch,Simkha,Simkha Simkhovitch,1893,1949,1893-1949,Saint Petersburg,,Russia,Eurasia,,1223,59.93863,30.31413,498817,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1223"">Whitney.org</a>","[59.93863,30.31413]","[59.93863,30.31413]"
Siporin,Mitchell,Mitchell Siporin,1910,1976,1910-1976,New York City,New York,United States of America,Central North America,North America,1227,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1227"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Sloan,John,John Sloan,1871,1951,1871-1951,Lock Haven,Pennsylvania,United States of America,Central North America,North America,1229,41.13701,-77.44693,5198635,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1229"">Whitney.org</a>","[41.13701,-77.44693]","[41.13701,-77.44693]"
Smith,David,David Smith,1906,1965,1906-1965,Decatur,Indiana,United States of America,Central North America,North America,1232,39.307,-85.50114,4256516,"<a target=""_blank"" href=""http://collection.whitney.org/artist/1232"">Whitney.org</a>","[39.307,-85.50114]","[39.307,-85.50114]"
