Title,Author,Language,Year
La sorcière,"Michelet, Jules, 1798-1874.",French,1878
"Daemonomagia; siue Libellvs Erōtēmatikos de daemonis cacurgia, cacomagorum et lamiarum energiâ.","Elich, Philipp Ludwig.",Latin,1607
"Onzydige en beproefde gedagten, over de leer aangaande geesten en geesten-zienders","Hennings, Justus Christiaan, 1731-1815.",Dutch,1786
Satanism and witchcraft : the classic study of medieval superstition,"Michelet, Jules, 1798-1874.",English,1992
Witchcraft and Quakerism : a study in social history,"Gummere, Amelia M. (Amelia Mott), 1859-1937.",English,1908
Satanism and witchcraft : a study in medieval superstition,"Michelet, Jules, 1798-1874.",English,1939
Der Hexenhammer,"Institoris, Heinrich, 1430-1505.",German,1906
List of works relating to witchcraft in Europe.,,English,1911
Manuel bibliographique des sciences psychiques ou occultes.,"Caillet, Albert L. (Albert Louis), 1869-1922.",French,1912
Los procesos de hechicerías en la Inquisición de Castilla la Nueva tribunales de Toledo y Cuenca,"Cirac Estopañán, Sebastián.",Spanish,1942
"Witchcraft in England,","Hole, Christina.",English,1945
"Witchcraft and black magic,","Summers, Montague, 1880-1948.",English,1946
Supersticiones de los siglos XVI y XVII y hechizos de Carllos II.,"Maura, Gabriel Maura Gamazo, duque de, 1879-1963. duque de Maura.",Spanish,1940
"Geschiedenis der heksenprocessen, eene bijdrage tot den roem des vaderlands.","Scheltema, Jacobus, 1767-1835.",Dutch,1828
List of works in the New York Public Library relating to witchcraft in the United States.,New York Public Library.,English,1908
"Flora diabolica; de plant in de demonologie,","Teirlinck, Isidoor, 1851-1934.",Dutch,1925
"Hrn. Melchior Goldast Von Haimins-Feld ... Rechtliches Bedencken, Von Confiscation der Zauberer-und Hexen-Güther ... Sampt einverleibtem kurtzem Bericht, von mancherley Arth der zauberer und Hexen, und deren ungleiche Bestraffung. Zu Erklährung und Erläutterung der Kayserlichen Peinlichen Hals-Gerichts-Ordnung ... Vorhin niemahln im Truck aussgangen, nunmehr aber aus Hrn. Goldast Säl. hinterlassenen Bibliothec, und eigenhändiger Verzeichnüss, zum Truck befodert.","Goldast, Melchior, 1578-1635.",German,1661
"The tryal of witchcraft: or, Witchcraft arraign'd and condemn'd. In some answers to a few questions anent witches and witchcraft. Wherein is shewed, how to know if one be a witch, as also when one is bewitched: with some observations upon the witches mark, their compact with the devil, the white witches &c. ...","Bell, John, 1676-1707.",English,1705
"Scottish witchcraft trials : clippings from the North British advertiser, Edinburgh, 1894-1896",,English,1894
Vers un nouveau prophétisme; essai sur le rôle politique du Sacré et la situation de Lucifer dans le monde moderne.,"Abellio, Raymond, 1907-",French,1950
"Numerology for everybody,","Adams, Charles William Dunlop, 1901-",English,1940
"Numerology up-to-date; a key to your fate,","Adams, Karen.",English,1925
The epistles of Ali Puli : circa 1700 AD,Ali Puli.,English,1951
"Anti-Canidia: or, Superstitution detected and exposed. In a confutation of the vulgar opinion concerning witches, spirits, demons, magick, divination, omens, prognostications, dreams, angurys, charms, amulets, incantations, astrology, oracles, &c ...",,English,1762
"Teachings on divine law,","Arnold, Helena.",English,1924
Mors et vita.,"Aron, Robert, 1898-1975, ed.",French,1951
"The consciousness of the atom,","Bailey, Alice, 1880-1949.",English,1922
The destiny of the nations,"Bailey, Alice, 1880-1949.",English,1949
Discipleship in the new age.,"Bailey, Alice, 1880-1949.",English,1944
"Letters on occult meditation,","Bailey, Alice, 1880-1949, ed.",English,1922
Changing esoteric values.,"Bailey, Foster.",English,1955
"Ascended master discourses,","King, Godfré Ray, 1878-1939.",English,1937
"Ascended master light,","Ballard, Guy W., 1878-",English,1938
"""I Am"" adorations and affirmations","Ballard, Edna Wheeler, 1886-1971.",English,1935
"The ""I am"" discourses,","King, Godfré Ray, 1878-1939.",English,1935
"The ""I am"" discourses,","King, Godfré Ray, 1878-1939.",English,1940
"The magic presence,","King, Godfré Ray, 1878-1939.",English,1935
"Unveiled mysteries,","King, Godfré Ray, 1878-1939.",English,1934
"Unveiled mysteries,","King, Godfré Ray, 1878-1939.",English,1939
"Nature's symphony, or, Lessons in number vibration","Balliett, Sarah Joanna, 1847-",English,1968
L'impotenza del demonio di trasportare a talento per l'aria da un luogo all' altro i corpi umani dimostrata,"Baroni Cavalcabò, Clemente, 1726-1796.",Italian,1753
"Numerology,","Bell, Eric Temple, 1883-1960.",English,1933
Focus on the unknown,"Bennett, Alfred Gordon, 1901-",English,1953
"Problems of reconstruction. Lectures delivered at the forty-third anniversary meeting of the Theosophical Society at Delhi, December, 1918,","Besant, Annie, 1847-1933.",English,1919
Superhuman men in history and in religion,"Besant, Annie, 1847-1933.",English,1919
"Theosophy and the theosophical society,","Besant, Annie, 1847-1933.",English,1913
"Le mervèilleux dans le Jansénisme, le magnétisme, le Méthodisme et le Baptisme americains, l'épidémie de Morzine, le spiritisme; recherches nouvelles","Blanc, Hippolyte, 1820-",French,1865
Okkulte Rätsel.,"Bô Yin Râ, 1876-1943.",German,1923
"Scare me! A symposium on ghosts and black magic,","Bodin, Edward Longstreet, 1894-",English,1940
"The demonstrating Christ,","Bond, Frederick Clifton.",English,1933
The meaning and philosophy of numbers,"Bosman, Leonard.",English,1932
"3, 5, and 7","Bowe, John, 1869-",English,1930
The coming world helper.,"Bowman, Frank.",English,1944
Addenda to Secret forces that change the world : preface to the fourth printing),"Bowman, Frank.",English,1946
"The fundamental principles of Yi-King, Tao : the cabbalas of Egypt and the Hebrews","Boyle, Veolita Parke.",English,1934
"Art magic; or, Mundane, sub-mundane and super-mundane spiritism. A treatise in three parts and twenty-three sections: descriptive of art magic, spiritism, the different orders of spirits in the universe known to be related to, or in communication with man; together with directions for invoking, controlling, and discharging spirits, and the uses and abuses, dangers and possibilities of magical art.","Britten, William. att",English,1876
"Io unveiled, (the Brydlovan theory of the origin of numbers)","Brýdlova, Bŏzena.",English,1922
Manual of psychometry: the dawn of a new civilization.,"Buchanan, Joseph R. (Joseph Rodes), 1814-1899.",English,1885
"Your days are numbered; a manual of numerology for everybody,","Campbell, Florence.",English,1936
The power within; the re-examination of certain psychological and philosophical concepts in the light of recent investigations and discoveries.,"Cannon, Alexander, Sir, 1896-",English,1953
Deux logis alchimiques en marge de la science et de l'histoire;,"Canseliet, Eugène.",French,1945
"The lantern bearer,","Cape, Emily Palmer, 1865-",English,1925
L'éveil à la vie.,"Caslant, Charles Eugène Eloi.",French,1949
A study in symbolism; an appreciation of beauty in forms ...,"Chavez, Louis.",English,1936
"The divine law; mastership; a fundamental text book for all students enrolled in the secret schools,","Clymer, R. Swinburne (Reuben Swinburne), 1878-",English,1922
The philosophy of fire ...,"Clymer, R. Swinburne (Reuben Swinburne), 1878-",English,1920
"The philosophy of fire,","Clymer, R. Swinburne (Reuben Swinburne), 1878-",English,1942
The teachings of the masters; the wisdom of the ages...,"Clymer, R. Swinburne (Reuben Swinburne), 1878-",English,1952
Curiosities of occult literature.,"Cooke, Christopher.",English,1863
That other world : personal experiences of mystics and their mysticism,"Cumberland, Stuart.",English,1918
"The soul of things; or, Psychometric researches and discoveries.","Denton, William, 1823-1883.",English,1866
The psychology of your name,"Dewey, Nellie Viola.",English,1924
"The unknown, is it nearer?","Dingwall, Eric John.",English,1956
Sciences occultes et déséquilibre mental,"Encausse, Philippe, 1905-",French,1943
Mystik und Magie der Zahlen.,"Endres, Franz Carl, 1878-1954.",German,1951
Die Zahl in Mystik und Glauben der Kulturvölker.,"Endres, Franz Carl, 1878-1954.",German,1935
Everybody's book of numbers; a numerology.,"Fantin, Lorna.",English,1931
Glimpses of inner truth.,"Farnsworth, Edward Clarence.",English,1923
"The Finding of the gnosis, or, Apotheosis of an ideal : an interior-life drama wherein is brought to light the inmost secret of all veritable religion, the mystery of the divine self.",,English,1890
"Demonologia, or, Natural knowledge revealed : being an exposé of ancient and modern superstitions, credulity, fanaticism, enthusiasm, & imposture, as connected with the doctrine, caballa, and jargon, of amulets, apparitions, astrology, charms, demonology, devils, divination, dreams, deuteroscopia, effluvia, fatalism, fate, friars, ghosts, gipsies, hell, hypocrites, incantations, inquisition, jugglers, legends, magic, magicians, miracles, monks, nymphs, oracles, physiognomy, purgatory, predestination, predictions, quackery, relics, saints, second sight, signs before death, sorcery, spirits, salamanders, spells, talismans, traditions, trials, &c., witches, witchcraft, &c. &c. / The whole unfolding many singular phenomena in the page of nature","Forsyth, J. S.",English,1827
"Demonologia; or, Natural knowledge revealed; being an exposé of ancient and modern superstitions, credulity, fanaticism, enthusiasm, & imposture, as connected with the doctrine, caballa, and jargon, of amulets, apparitions, astrology, charms, demonology ... witchcraft, &c.","Forsyth, J. S.",English,1831
La médecine et l'occultisme en Chine,"Frichet, Henry, 1861-",French,1933
The sense and nonsense of prophecy.,"Garrett, Eileen Jeanette Lyttle, 1893-1970.",English,1950
The silver band.,"Gartling, George, 1854-",English,1927
"How and why we live,","Gilmore, Edward Laird.",English,1928
"Anthologie de l'occultisme; choix des meilleures pages des auteurs qui se sont illustrés dans les sciences hermétiques, depuis les temps anciens jusqu'à nos jours.","Grillot de Givry, 1870-1929. com",French,1922
"Very sincerely yours, Manly P. Hall; a collection of personal letters to students.","Hall, Manly Palmer, 1901-",English,1948
The ways of the lonely ones; a collection of mystical allegories;,"Hall, Manly Palmer, 1901-",English,1934
Mysteries and romances of the world's greatest occultists,"Cheiro, 1866-1936.",English,1972
Real life stories : a collection of sensational personal experiences,"Cheiro, 1866-1936.",English,1934
Buch aller verbotenen Kunst.,"Hartlieb, Johann, active 1450.",German,1914
Rosicrucian Christianity.,"Heindel, Max, 1865-1919.",English,1909
"The reality of matter; a critical correspondence between Heinrich Hensoldt, Ph.D. of Columbia university, and a member of the Order of the brotherhood of India.  Republished in book form at request of students and friends of the great work, for the benefit of those who are confused by the fundamental teachings of Christian science and other cults and schools of mental therapeutics.","Richardson, J. E. (John Emmett), 1853-1935.",English,1911
"The reality of matter; a critical correspondence between Heinrich Hensoldt, Ph. D. of Columbia University, and a member of the Order of the Brotherhood of India. Republished in book form at the request of students and friends of the great work, for the benefit of those who are confused by the fundamental teachings of Christian Science and other cults and schools of mental therapeutics.","Richardson, J. E. (John Emmett), 1853-1935.",English,1912
"Your number, please,","Hitchcock, Helyn.",English,1945
"Medieval number symbolism, its sources, meaning, and influence on thought and expression,","Hopper, Vincent F., 1906-1976",English,1938
"Three famous occultists: Dr. John Dee, by G.M. Hort; Franz Anton Mesmer, by R.B. Ince; Thomas Lake Harris, by W.P. Swainson.","Hort, G. M. (Gertrude M.)",English,1939
"Three famous occultists : Dr. John Dee, by G. M. Hort; Franz Anton Mesmer, by R. B. Ince; Thomas Lake Harris, by W. P. Swainson.","Hort, G. M. (Gertrude M.)",English,1940
"Heredity in the light of esoteric philosophy,","Hudson, Irene Bastow.",English,1932
Spiritism the hidden secret in Einstein's theory of relativity.,"Humberstone, Clara E. Speight, 1862-",English,1922
"Cosmogony and evolution,","Ingalese, Richard, 1863-",English,1907
The greater mysteries.,"Ingalese, Richard, 1863-",English,1923
"Occult philosophy,","Ingalese, Richard, 1863-",English,1920
"La métapsychique, 1940-1946.",,French,1946
"Wish and wisdom; episodes in the vagaries of belief,","Jastrow, Joseph, 1863-1944.",English,1935
Die okkulte Entwicklung der Menschheit,"Jinarājadāsa, Curuppumullagē, 1875-1953.",French,1947
Sämmtliche Schriften.,"Jung-Stilling, Johann Heinrich, 1740-1817.",German,1835
"Theobald, or, The fanatic : a true history","Jung-Stilling, Johann Heinrich, 1740-1817.",English,1846
"Science and the infinite : or, Through a window in the blank wall","Klein, Sydney T.",English,1912
"The mind supreme; a helpful bookon constructive psychology, to assist you with your everyday problems.","Kooreman, Bernard.",English,1952
"Numbers: their meaning and magic being an enlarged and revised edition of ""Numbers: their magic and mystery"",","Kozminsky, Isidore.",English,1927
"Intuition, non fiction ...","Larkin, Zella B.",English,1946
"Rosicrucian manual,","Lewis, H. Spencer (Harve Spencer), 1883-1939.",English,1932
"Rosicrucian manual,","Lewis, H. Spencer (Harve Spencer), 1883-1939.",English,1938
"Self mastery and fate, with the cycles of life.","Lewis, H. Spencer (Harve Spencer), 1883-1939.",English,1952
"Sight unseen, a journalist visits the occult,","Lieb, Fred, 1888-",English,1939
My occult case book,"Lind, Frank.",English,1953
"Man, minerals and masters","Littlefield, Charles Wentworth, b. 1859.",English,1937
The secret science at work : new light on prayer,"Long, Max Freedom, 1890-1971.",English,1953
"Volo : or, The will : what it is, how to strenghthen, and how to use it","Lovell, Arthur, 1864-",English,1900
"The letter of Saint Thomas Aquinas, De occultis operibus naturae ad quemdam militem ultramontanum ...","McAllister, Joseph B. (Joseph Bernard), 1906-",English,1939
La clef des choses cachées.,"Magre, Maurice, 1877-1941.",French,1935
"Epidemic delusions; a lecture ... read before the New York Liberal Club, May 9, 1873.","Marvin, Frederic Rowland, 1847-1918.",English,1874
Metaphysics of numerology ...,"Melton, Roy.",English,1934
"Théorie et pratique de la magie sexuelle : l'amour et occultisme,","Campigny, Henri M. de.",French,1938
An der Grenze des Jenseits,"Meyrink, Gustav, 1868-1932.",German,1923
Infinite wisdom.,"Miller, Mattie Storm.",English,1952
"Occultism and modern science,","Oesterreich, Traugott Konstantin, 1880-1949.",English,1923
"Occultism and modern science,","Oesterreich, Traugott Konstantin, 1880-1949.",English,1923
The Kabala of numbers : a handbook of interpretation.,"Sepharial, 1864-1929.",English,1911
"A dweller on two planets : or, The dividing of the way","Oliver, Frederick Spencer, 1866-1899.",English,1924
Het droomleven.,"Ortt, Felix, 1866-",Dutch,1951
"Occultism, Christian Science and healing.","Osborn, Arthur Walter, 1891-",English,1926
L'alchimia come via allo spirito : l'autorealizzazione magica e la psicologia del profondo svelate dalla tradizione ermetica,"Palamidessi, Tommaso.",Italian,1949
Zahlensymbolik im Unbewusstsein.,"Paneth, Ludwig.",German,1952
The Parkingtonian system of vibratory intoning.,"Parkington, Sara Abbott.",English,1922
The golden scripts.,"Pelley, William Dudley, 1890-",English,1941
"Thinking and destiny, with a brief account of the descent of man into this human world, and, how he will return to the eternal order of progression,","Percival, Harold W. (Harold Waldwin), 1868-1953.",English,1946
"The etheric double and allied phenomena,","Powell, Arthur Edward, 1882-",English,1925
The mental body.,"Powell, Arthur Edward, 1882-",English,1927
"Mystery, mirage and miracle.","Raffin, Alain.",English,1921
"The spirit of man,","Rains, Clara Beatrice, 1890-",English,1924
"Kreuz und quer durch die Welt. Okkultistische Reiseerlebnisse,","Reichel, Willy.",German,1906
"An occultist's travels,","Reichel, Willy.",English,1908
"Episodes de la vie esotérique, 1780-1824.","Rijnberk, Gérard van, 1875-1953.",French,1948
"I-dao,","Russell, Austin.",English,1940
"Mission de l'Inde en Europe, mission de l'Europe en Asie; la question de mahatma et sa solution.","Saint-Yves d'Alveydre, Joseph Alexandre, marquis, 1842-1909.",French,1910
"Progressive creation; a reconciliation of religion with science,","Sampson, Holden E. (Holden Edward), b. 1859.",English,1930
"Theou sophia, elucidating the science and philosophy of the divine mysteries. A complete epitome and analysis of cosmological science embodied in the ancient wisdom ...","Sampson, Holden E. (Holden Edward), b. 1859.",English,1918
Practical numerology : (Pythagorean system) and character-analysis,"Sander, Charles Gustav, 1861-",English,1931
The greater awareness.,"Scott, Cyril, 1879-1970.",English,1937
"The initiate in the dark cycle; a sequel to ""The initiate"" and to ""The initiate in the new world,""","Scott, Cyril, 1879-1970.",English,1938
"The initiate in the new world : a sequel to ""The initiate""","Scott, Cyril, 1879-1970.",English,1927
"An outline of modern occultism,","Scott, Cyril, 1879-1970.",English,1935
"Collected fruits of occult teaching,","Sinnett, A. P. (Alfred Percy), 1840-1921.",English,1919
"Collected fruits of occult teaching,","Sinnett, A. P. (Alfred Percy), 1840-1921.",English,1920
Key to the Hebrew-Egyptian mystery in the source of measures originating the British inch and the ancient cubit ...,"Skinner, J. Ralston (James Ralston)",English,1894
Two worlds are ours,"Smith, W. S. Montgomery, d. 1936.",English,1930
Psycho-synthèse et occultisme,"Spiess, Camille.",French,1929
Investigations in occultism showing its practical value in daily life.,"Steiner, Rudolf, 1861-1925.",English,1920
"Theosophy; an introduction to the supersensible knowledge of the world and the destination of man,","Steiner, Rudolf, 1861-1925.",English,1910
"Lights, colors, tones and nature's finer forces. Marvelous discoveries.  Basic and active principls[!].  Functions of electrons, magnetons, atoms, cold-lights, odics, auras and radio.","Stevens, Ernest Jack.",English,1974
Psychics and common sense; an introduction to the study of psychic phenomena.,"Stevens, William Oliver, 1878-1955.",English,1953
"The ancient cipher; or, ""God's wisdom in a mystery"",","Stewart, Eva Southgate.",English,1932
"The message from the king's coffer,","Temple, Ronald.",English,1920
Theosophical manuals.,,English,1910
Les portes de l'enfer.,"Thérive, André, 1891-1967.",French,1924
Theosophy : the path of the mystic,"Tingley, Katherine Augusta Westcott, 1847-1929.",English,1922
The natural history of superstition ...,"Trenchard, John, 1662-1723.",English,1709
Au seuil de monde invisible : nouveau traité de métapsychique,"Trintzius, René, 1898-",French,1951
Dictionnaire pratique des sciences occultes,"Verneuil, Marianne.",French,1950
"The Illuminate of Görlitz : or, Jakob Böhme's life and philosophy : a comparative study","Vetterling, Herman.",English,1922
"""Thine is the kingdom.""","Warn, Charles Lathrup, 1882-",English,1942
"Yieger's cabinet. Spiritual vampirism: the history of Etherial Softdown, and her friends of the ""New light"".","Webber, Charles W. (Charles Wilkins), 1819-1856.",English,1853
"Known and unknown life of Jesus, the Christ; giving accounts of his travels and wondrous works ... together with the correspondence with, and demonstration of, the two fundamental sciences, astrology and numerology  ...","Welch, Jane Aikman.",English,1924
Vom Wesen der Totalität; ein Versuch.,"Werle, Fritz, 1899-",German,1938
"Numbers, their occult power and mystic virtues","Westcott, W. Wynn (William Wynn), 1848-1925.",English,1934
"Occultism simplified; or, The mystic thesaurus. Hidden meaning of the symbol of the Zodiac...significance of alphabets and tarot cards...mystery of numbers...how to make and use the magic mirror by means of which communication can be established with the Astral Brotherhood.","Whitehead, Willis F.",English,1921
"Numerology simplified; a method to know yourself and others through the science of numbers,","Williams, Elaine H.",English,1930
"Recurring earth-lives, how and why; reincarnation described and explained,","Willis, Frederick Milton, 1868-",English,1921
"The return of the world-teacher: Purifying Christianity: The common voice of religion,","Willis, Frederick Milton, 1868-",English,1924
"The spiritual life, how to attain it and prepare children for it,","Willis, Frederick Milton, 1868-",English,1922
The truth about Christ and the atonement.,"Willis, Frederick Milton, 1868-",English,1922
"You and the universe, a book of numbers,","Wilson, Ernest Charles, 1896-",English,1922
In quest of the occult.,"Coleman, Muzza Schönau.",English,1953
"Symbols versus cymbals,","Zachar, Louis A.",English,1941
"Around the clock with numbers,","Seigle, Elizabeth.",English,1934
"Creation of perception, harmonious and inharmonious; a treatise on the positive and negative phases of the science of psychology,","Josselyn, Ernest W.",English,1941
"Atomic energy research reports; facts for the layman, broken down, simplified, yet the whole truth revealed","Moss, Norman.",English,999
"Traité des talismans ov Figvres astrales : dans lequel est monstré que leurs effets, & vertus admirables sont naturelles.","Belin, Jean Albert, ca. 1610-1677.",French,1671
"Sound and number; the law of destiny and design demonstrated by the royal family and dynasties of England, the Labour ministry, solar design in nature, the Bible and the church, man's ""three score years and ten,"" the papacy, etc.","Ahmad, Mabel L.",English,1929
"Your birthday month--and you,","Baillie-Saunders, Margaret Elsie Crowther, 1873-1949.",English,1931
"The occult Pythagorean science of numbers, mating human personalities, health and longevity, and other laws.","Bosworth, Halliam.",English,1954
"The Chaldean; being an account of four of his reincarnate pilgrimages; from that amongst the ancient Druids in the Isle of Oaks, until his final deliverance and victory.","Davidson, P. (Peter), 1842-1916.",English,1911
"The Australian magpie and the British commonwealth of nations,","Hose, Thomas.",English,1936
"The past & future of mankind,","Jenkins, D. Vivian.",English,1932
"Studies in symbology,","Lidstone, Ronald A.",English,1926
"The great law, told simply in seven visits,","MacHuisdean, W. Hamish F.",English,1924
"Psychometry and thought-transference, with practical hints for experiments.",,English,1887
"God power in the sacred symbol 7,","Randolph, Richard V.",English,1943
"Earthquake,","Rommel, Jon.",English,1942
"The soul of the universe,","Scott, Betty Marshall.",English,1937
A voice from the graves!,"Shamesman, Issac B.",English,1940
"Key to the Hebrew-Egyptian mystery in the source of measures originating the British inch and the ancient cubit by which was built the great pyramid of Egypt and the temple of Solomon; and through the possession and use of which, man, assuming to realize the creative law of the Deity, set it forth in a mystery, among the Hebrews called Kabbala.","Skinner, J. Ralston (James Ralston)",English,1931
"The mysteries of Osiris; or, Ancient Egyptian initiation. Setting forth the symbolism, mythology, legends and parables beginning with the outer religious systems of the Egyptians, primarily based on the drama of the heavens; together with the inner or esoteric interpretations as taught in the lesser and greater mysteries active throughout the ages, including the present,","Clymer, R. Swinburne (Reuben Swinburne), 1878-",English,1951
"""The book of life,""","Gelgud, Ella M.",English,1945
"Cheiro's book of numbers,","Cheiro, 1866-1936.",English,1927
"The kabala of numbers... a handbook of interpretation,","Old, Watter Gorn, 1864-",English,1924
"The Initiate; some impressions of a great soul, by his pupil.","Scott, Cyril, 1879-1970.",English,1941
Spuk; Irrglaube oder Wahrglaube? Eine Frage der Menscheit; mit Vorrede von Prof. C. G. Jung.,"Moser, Fanny, 1872-1953.",German,1950
Der Okkultismus in Urkunden;,,German,1925
"Trattato teorico-practico de Bonigolomanzia, altrimenti dita in lingua greco-toscana Onfalomanzia; destina a rivoluzionar sto genere de sienze a darghe conforto ai omeni speranza a le done coreda de diseʹgni, tavole, esempi per farlo ciaro pratico, gradìo.",,Italian,1953
Discʹipulos y maestros.,"Tibetan, pseud.",Spanish,1942
Ramillete de siemprevivas;,"Tingley, Katherine Augusta Westcott, 1847-1929.",Spanish,1914
Inleiding tot de parapsychologie.,"Tenhaeff, W. H. C. (Wilhelm Heinrich Carl), 1894-",Dutch,1952
"De macht van het getal; zijn wetenschappelijke en occulte betekenis en zijn rol in puzzles en spelen,","Schuh, Frederik, 1875-",Dutch,1949
Manuali teosofici.,,Italian,1913
La médecine occulte.,"Sédir, Paul, 1871-1926.",French,1910
Révélations sensationnelles des vrais secrets des sciences occultes. Le plus précieux des trésors.,"Lamblin, Carolus.",French,1951
Zur okkulten Psychologie der Gegenwart. Essays.,"Deinhard, Ludwig.",German,1902
"Dans le domaine des sciences occultes; hypnotisme, magnétisme, suggestion, spiritisme.","Choquet, Charles Albert.",French,1929
"L'occulte à l'exposition,","Papus, 1865-1916.",French,1901
Secret forces that change the world.,"Bowman, Frank.",English,1944
Manuales teosóficos.,,Spanish,1910
Manuels théosophiques ... Édition française.,,French,1917
"Cristianismo Rosacruz,","Heindel, Max, 1865-1919.",Spanish,1913
"Historia crítica de las prácticas, ò costumbres supersticiosas. Śon doctrinas muy útiles para el discernimiento de los efectos naturales delos sobrenaturales.","Lebrun, Pierre, 1661-1729.",Spanish,1744
"Der Wünschelring (Differenzialpendel, siderischer Pendel), insbesondere seine Anwendung auf die Meisterbestimmung bei Gemälden usw.","Oelenheinz, Leopold Theod. Karl, 1871-",German,1920
"Die Geheimnisse der Psychometrie; oder, Hellsehen in die Vergangenheit (Past events seership).","Pagenstecher, Gustav.",German,1928
"Grondbeginselen der psychische physica; bijdrage tot de kennis der physische en physiologische aspecten van telepathische, wichelroede- en andere paranormale verschijnselen ...","Tromp, S. W. (Solco Walle), 1909-",German,1952
Villefarelser och vetande; studier i vidskepelsens och önsketänkandets psykologi.,"Jastrow, Joseph, 1863-1944.",German,1939
"De oorsprong der getallen,","Hecker, W. A. A.",Dutch,1951
"Maschera e volto dello spiritualismo contemporaneo; analisi critica delle principali correnti moderne verso il ""sovrasensibile.""","Evola, Julius, 1898-1974.",Italian,1949
"Il nuovo dilucidario della buona fortuna per poter vincere all'estrazione del lotto, ossia unmetodo novissimo per combinare con probabilità al lotto, opera compilata de' più famosi gabalisti, cioè La vera arte di farsi ricco ...",,Italian,1823
"Fantasmas, fantasias e fantoches","Imbassahy, Carlos.",Portuguese,1950
Die weltzahl pi. Cabbala und alchimie in der Cheopspyramide und im Alten Testament. Die pyramide als knostruierte quadratur des kreises. Die  magische mathematik und praxis der wahren a depten --im einklang mit den neuesten ergebnissen--der atomforschung als synthese von religion und wissenschaft.,"Strauss, Alfred.",German,1931
"La Bible, document chiffré, essai sur la restitution des clefs de la science numérale secrète.","Abellio, Raymond, 1907-",French,1950
La povdre de sympathie ivstifiee ...,"Belin, Jean Albert, ca. 1610-1677.",French,1871
"Apologie dv grand oevvre, ov, Elixir des philosophes, dit vulgairement Pierre Philosophale ...","Belin, Jean Albert, ca. 1610-1677.",French,1659
"Commentaire de Henri de Linthaut, Sieur de Mont-Lion, Docteur en Medecine : sur le tresor des tresors de Christofle de Gamon","Lintaut, Henri de, 17th cent.",French,1610
"Le règne de Saturne, changé en siècle d'or, S.M.I.S.P.; ou Le magistere des sages, qui a été tenu secret jusqu'à ce jour, & que l'on publie maintenant en faveur des enfans de la science. On y a joint, pour lui servir comme de pierre de touche, une suite de maximes puisées chez les philosophes les plus authentique; avec une pratique très-facile",Huginus à Barma.,French,1780
"Plutarchus, and Theophrastus, on superstition; with various appendices, and a life of Plutarchus.",,English,1828
An essay on the fundamental principles of operative occultism,"Hall, Manly Palmer, 1901-",English,1935
The culture of the mind,"Hall, Manly Palmer, 1901-",English,1934
Talks to students on occult philosophy,"Hall, Manly Palmer, 1901-",English,1935
Death and after : and the theory of reincarnation,"Hall, Manly Palmer, 1901-",English,1929
Right thinking the royal road to health : a study in psychotherapy,"Hall, Manly Palmer, 1901-",English,1934
"""The Egypt that is"",","Gartling, George, 1854-",English,1925
Immensity ...,"Gartling, George.",English,1920
"The Egypt that was; within fifteen lessons we placed the twelve ages for George Gartling by his invisible teacher, Marcus ...","Gartling, George, 1854-",English,1919
"Weekly studies in soulcraft; the upper romm discourses, psychics, economics, ethics.","Pelley, William Dudley, 1890-",English,1942
"Thought power, its control and culture","Besant, Annie, 1847-1933.",English,1918
"A treatise on white magic : or, The way of the disciple","Bailey, Alice A., Mrs., 1881-",English,1934
"Cornelius Agrippa. The life of Henry Cornelius Agrippa von Nettesheim, doctor and knight, commonly known as a magician.","Morley, Henry, 1822-1894.",English,1856
Opera omnia.,"Kremmerz, Giuliano.",Italian,1951
The vanity of arts and sciences.,"Agrippa von Nettesheim, Heinrich Cornelius, 1486?-1535.",English,1676
"Miscellanies upon various subjects,","Aubrey, John, 1626-1697.",English,1857
"The supernatural: its origin, nature and evolution.","King, John H.",English,1892
"The Rosicrucians : their teachings, the Fraternitas Rosæ Crucis, American section ; the manifestoes issued by the brotherhood, order, temple and fraternity of the Rosicrucians since its foundation in America have been edited and the teachings made applicable to modern conditions and the needs of the new age","Clymer, R. Swinburne (Reuben Swinburne), 1878-",English,1941
"Henrici Cornelii Agrippae, ab Nettesheym ... Opera qvaecumqve hactenvs vel in lucem prodierunt vel inueniri potuerunt omnia, in duos tomos concinnè digesta, & diligenti studio recognita: quae pagina post praefationem proxima plenissimè enumerantur.","Agrippa von Nettesheim, Heinrich Cornelius, 1486?-1535.",Latin,1600
The vanity of arts and sciences.,"Agrippa von Nettesheim, Heinrich Cornelius, 1486?-1535.",English,1684
The vanity of arts and sciences,"Agrippa von Nettesheim, Heinrich Cornelius, 1486?-1535.",English,1694
"Die Eitelkeit und Unsicherheit der Wissenschaften und die Verteidigungsschrift,","Agrippa von Nettesheim, Heinrich Cornelius, 1486?-1535.",German,1913
"Os ""milagres"" do ""Padre de Poá."" Estudio científico. Relações com a medicina. O ""sobrenatural"" e a ciência ...","Whitaker, Edmur de Aguiar, 1908-",Portuguese,1944
"Secrets merveilleux de la magie naturelle & cabalistique du Petit Albert, :","Albert, Petit.",French,1729
"The finding of the 'third eye',","Alder, Vera Stanley.",English,1940
"Practical psychomancy and crystal gazing : a course of lessons on the psychic phenomena of distant sensing, clairvoyance, psychometry, crystal gazing, etc. ...","Atkinson, William Walker, 1862-1932.",English,1908
