Title,Author,Language,Year
Histoire de la magie et de ses dogmes.,"Chochod, Louis Simon Fortuné Frédéric, 1877-",French,1949
"Histoire de la magie, avec une exposition claire et précise de ses procédés, de ses rites et de ses mystères,","Lévi, Eliphas, 1810-1875.",French,1860
"Histoire de la magie, avec une exposition claire et précise de ses procédés, de ses rites et de ses mystères,","Lévi, Eliphas, 1810-1875.",French,1892
"The history of magic, including a clear and precise exposition of its procedure, its rites and its mysteries,","Lévi, Eliphas, 1810-1875.",English,1914
"The history of magic, including a clear and precise exposition of its procedure, its rites and its mysteries,","Lévi, Eliphas, 1810-1875.",English,1922
"The history of magic, including a clear and precise exposition of its procedure, its rites and its mysteries,","Lévi, Eliphas, 1810-1875.",English,1940
Transcendental magic : its doctrine and ritual,"Lévi, Eliphas, 1810-1875.",English,1938
Magie blanche et magie noire aux Indes,"Dare, M. Paul (Marcus Paul), 1902-",French,1947
"L'incredulité sçavant, et la credulité ignorante: au sujet des magiciens et des sorciers, auecque la response à un livre intitulé Apologie pour tous les grands personnages, qui ont esté faussement soupçonnés de magie.","Chevanes, Jacques de, ca. 1608-1678.",French,1671
"A compleat system of magick; or, The history of the black-art ...","Defoe, Daniel, 1661?-1731.",English,1729
"The old book of magic; a precise history of magic, its procedure, rites and mysteries as contained in ancient manuscripts, embellished with engravings of wonderful charms and talismans,","De Laurence, L. W. (Lauron William), b. 1868.",English,1918
Geschichte des thierischen Magnetismus.,"Ennemoser, Joseph, 1787-1854.",German,1844
The history of magic,"Ennemoser, Joseph, 1787-1854.",English,1854
Magie und Mystik in Vergangenheit und Gegenwart.,"Aram, Kurt.",German,1929
Magie und Zauberei in der alten Welt,"Aram, Kurt.",English,1927
The lives of the conjurors.,"Frost, Thomas, 1821-1908.",English,1881
"Histoire de la magie en France, depuis le commencement de la monarchie jusqu'à nos jours.","Garinet, Jules.",French,1818
Magie & religion annamites; introduction à une philosophie de la civilisation du peuple d'Annam;,"Giran, Paul.",French,1912
Magic and divination,"Gleadow, Rupert.",English,1941
"Lives of the necromancers : or, An account of the most eminent persons in successive ages who have claimed for themselves, or to whom has been imputed by others, the exercise of magical power","Godwin, William, 1756-1836.",English,1876
Chaldean magic: its origin and development.,"Lenormant, François, 1837-1883.",English,1877
La divination et la science des preśages chez la Chaldéens,"Lenormant, François, 1837-1883.",French,1875
La magie chez les Chaldéens et les origines accadiennes,"Lenormant, François, 1837-1883.",French,1874
"Magic in Greek & Latin literature,","Lowe, Joyce Egerton, 1892-",English,1929
"Magicians, seers and mystics.","Magre, Maurice, 1877-1941.",English,1932
The return of the magi,"Magre, Maurice, 1877-1941.",English,1931
"La magie dans l'antiquité romaine. La magie dans la littérature et les mœurs romaines, la répression de la magie.","Massonneau, Éliane.",French,1934
"La sorcellerie au Maroc, oeuvre posthume précédée d'une étude documentaire sur l'auteur et l'oeuvre par Jules Bois et accompagnée de 17 illustrations, la plupart d'après des photographies prises par l'auteur.","Mauchamp, Émile, 1870-1907.",French,1911
"La magie el l'astrologie dans l'antiquité et au moyen âge, ou Étude sur les superstitions païennes qui se sont perpétuées jusqu'à nos jours,","Maury, L.-F.-Alfred (Louis-Ferdinand-Alfred), 1817-1892.",French,1860
"Apologie pour les grands hommes soupçonnez de magie,","Naudé, Gabriel, 1600-1653.",French,1712
Histoire de la magie du monde surnaturel et de la fatalité à travers les temps et les peuples.,"Pitois, Christian, 1811-1877.",French,1870
"Magic and mind,","Radclyffe, Edward John Dilston, 1882-",English,1932
"The magic of the middle ages,","Rydberg, Viktor, 1828-1895.",English,1879
The mirror of magic.,"Seligmann, Kurt, 1900-1962.",English,1948
"Malay magic; being an introduction to the folklore and popular religion of the Malay Peninsula,","Skeat, Walter William, 1866-",English,1900
"Studies in magic from Latin literature,","Tavenner, Eugene, 1878-",English,1916
Magic and mystery : a popular history,"Thompson, Alfred.",English,1894
"Magie, Mutter aller Kultur.","Bittner, Karl Gustav, 1896-",German,1930
"Hvor magien hører hjemme; en vandring gjennom tidsaldre, folkes - lag og bøker.","Brøgger, Waldemar Christopher, 1911-",Norwegian,1951
"Recherches sur ce qu'il s'est conservé dans l'Égypte moderne de la science des anciens magiciens,","Laborde, Léon, marquis de, 1807-1869.",French,1841
Indian magic and the testimony of conjurers.,"Hodgson, Richard, 1855-1905.",English,1894
"Danmarks Trylleformler,","Ohrt, Ferdinand, 1873-",Danish,1917
"Apologie pour tous les grands hommes, qui ont esté accusez de Magie.","Naudé, Gabriel, 1600-1653.",French,1669
Trollskap og helligdom.,"Kvam, Lorentz Normann, 1891-",Norwegian,1945
Histoire de la magie avec une exposition claire et précise de ses procédés ...,"Lévi, Eliphas, 1810-1875.",French,1904
The myth of the magus.,"Butler, E. M. (Eliza Marian), 1885-1959.",English,1948
"The Astrologer's magazine, and philosophical miscellany.",,English,1791
Epoche des Teufels; ein Versuch.,"Böehm, Anton, 1904-",German,1955
"The history of the devil and the idea of evil, from the earliest times to the present day,","Carus, Paul, 1852-1919.",English,1900
"Légendes infernales; relations et pactes des hôtes de l'enfer avec l'espèce humaine,","Collin de Plancy, J.-A.-S. (Jacques-Albin-Simon), 1794-1881.",French,1862
"The story of the devil,","Graf, Arturo, 1848-1913.",English,1931
The devils of Loudun.,"Huxley, Aldous, 1894-1963.",English,1952
"Satan, a portrait : a study of the character of Satan through all the ages","Langton, Edward, 1886-",English,1946
Historia diaboli seu commentatio de diaboli malorumque spirituum exsistentia.,"Mayer, Johann Gottfried, 1741-1807.",Latin,1777
The Devil;,"Papini, Giovanni, 1881-1956.",English,1954
El diablo en Bélgica.,"Payró, Roberto Jorge, 1867-1928.",Spanish,1953
The satanic mass; a sociological and criminological study.,"Rhodes, Henry T. F. (Henry Taylor Fowkes), 1892-",English,1954
The devil's share,"Rougemont, Denis de, 1906-",English,1944
Satan.,,French,1948
Histoire du diable.,"Turmel, Joseph, 1859-1943.",French,1931
The life of the devil,"Turmel, Joseph, 1859-1943.",English,1929
"Devils,","Wall, James Charles.",English,1904
"The devil; an historical, critical and medical study.","Gar̨con, Maurice, b. 1889.",English,1929
La part du diable.,"Rougemont, Denis de, 1906-",French,1942
"Lʹantidiavolo; critical al ""Diavolo"" di Giovanni Papini.","Cunsolo, Luigi.",Italian,1954
"De duivel in het drama, der middeleeuwen,","Haslinghuis, E. J.",Dutch,1911
Il diavolo; appunti per una futura diabologia.,"Papini, Giovanni, 1881-1956.",Italian,1954
Satan.,,Dutch,1949
An essay towards a theory of apparitions.,"Ferriar, John, 1761-1815.",English,1813
"Spectropia, or, Surprising spectral illusions : showing ghosts everywhere, and of any colour","Brown, J. H.",English,1866
"Historic ghosts and ghost hunters,","Bruce, H. Addington (Henry Addington), 1874-",English,1908
"Modern ghost stories : a medley of drama, impressions and spectral illusions","Buckingham, Emma May.",English,1906
"Dissertations sur les apparitions des anges, des démons & des esprits et sur les revenans et vampires de Hongrie, de Boheme, de Moravie & de Silesie ...","Calmet, Augustin, 1672-1757.",French,1746
"Phantasms of the dead; or, True ghost stories,","Carrington, Hereward, 1880-1959.",English,1920
Men that would not stay dead. Twenty-six authentic ghost stories.,"Clarke, Ida Clyde.",English,1936
"Apparitions; an essay, explanatory of old facts and a new theory. To which are added, Sketches and adventures.","Crosland, Newton, 1819-1899.",English,1873
Here are ghosts and witches.,"Day, J. Wentworth (James Wentworth), 1899-1983",English,1954
Unsolved mysteries; a collection of weird problems from the past.  With contributions and historical research by Larry Forrester and Peter Robinson.,"Dyall, Valentine.",English,1954
Haunted houses,"Flammarion, Camille, 1842-1925.",English,1924
Les maisons hantées; en marge de la mort et son mystère.,"Flammarion, Camille, 1842-1925.",French,1923
"Great ghost stories, selected by Joseph Lewis French;","French, Joseph Lewis, 1858-1936. com",English,1918
"The ghost world,","Dyer, T. F. Thiselton (Thomas Firminger Thiselton), 1848-",English,1893
"Les métapsychoses: la métapsychorragie, la télépathie, la hantise.","Bret, P. Thomas.",French,1939
"Des hallucinations; ou, Histoire raisonnée des apparitions, des visions, des songes, de l'extase, du magnétisme et du somnambulisme.","Brierre de Boismont, Alexandre-Jacques-François, 1798-1881.",French,1852
"The night-side of nature; or, Ghosts and ghost seers,","Crowe, Catherine, 1790-1876.",English,1901
"Geister, Gänger, Gesichte, Gewalten ...","Gagern, Friedrich, Freiherr von, 1882-1948.",German,1932
Ghost tales and legends,"Gauld, H. Drummond.",English,1929
Ghost stories : collected with a particular view to counteract the vulgar belief in ghosts and apparitions,,English,1846
"Lord Halifax's ghost book, a collection of stories of haunted houses, apparitions, and supernatural occurrences","Halifax, Charles Lindley Wood, Viscount, 1839-1934.",English,1936
"Haunted houses; tales of the supernatural, with some account of hereditary curses and family legends,","Harper, Charles G. (Charles George), 1863-1943.",English,1924
Ghosts over England.,"Hopkins, Robert Thurston, 1884-",English,1953
The world's strangest ghost stories,"Hopkins, Robert Thurston, 1884-",English,1955
The haunted homes and family traditions of Great Britain,"Ingram, John Henry, 1842-1916.",English,1897
"Spooks of the valley; ghost stories for boys and girls,","Jones, Louis Clark, 1908-",English,1948
Die Existenz der Geister und ihre Einwirkung auf die Sinnenwelt : psychologisch erklärt und historische begründet,"Korn, Friedrich, 1803-1850.",German,1841
"The book of dreams and ghosts,","Lang, Andrew, 1844-1912.",English,1899
"Of ghostes and spirites walking by nyght, 1572,","Lavater, Ludwig, 1527-1586.",English,1929
"Virginia ghosts,","Lee, Marguerite du Pont, 1862-1936.",English,1930
"Virginia ghosts and others,","Lee, Marguerite du Pont, 1862-1936.",English,1932
Ghost book.,"Leslie, Shane, 1885-1971.",English,1955
The ghost book : strange hauntings in Britain,"MacGregor, Alasdair Alpin Douglas, 1899-1970.",English,1955
"Macleod's History of witches, &c. : the majesty of darkness discovered, in a series of tremendous tales, mysterious, interesting and entertaining, of apparitions, witches, augurs, magicians, dreams, visions and revelations, in confirmation of a future state, and the superintendency of a Divine Providence, by the agency of spirits and angels","M'Cleod, Malcolm.",English,1814
"The majesty of darkness discovered in a series of tremendous tales, mysterious, interesting, and entertaining of apparitions, witches, augurs, magicians, dreams, visions, and revelations, in confirmation of a future state.","MacLeod, Malcolm.",English,1804
An adventure.,"Moberly, C. A. E. (Charlotte Anne Elizabeth), 1846-1937.",English,1911
An adventure.,"Moberly, C. A. E. (Charlotte Anne Elizabeth), 1846-1937.",English,1931
Adventure,"Moberly, C. A. E. (Charlotte Anne Elizabeth), 1846-1937.",English,1934
An adventure. With a preface by Edith Olivier and a note by J. W. Dunne.,"Moberly, C. A. E. (Charlotte Anne Elizabeth), 1846-1937.",English,1935
"An adventure,","Moberly, C. A. E. (Charlotte Anne Elizabeth), 1846-1937.",English,1955
"""Ghosts or devils"" I'm done","Moore, Francis M. (Francis Marion), b. 1846.",English,1908
"The case for astral projection,","Muldoon, Sylvan Joseph.",English,1936
"Animal ghosts : or, Animal hauntings and the hereafter","O'Donnell, Elliott, 1872-1965.",English,1913
"Confessions of a ghost hunter,","O'Donnell, Elliott, 1872-1965.",English,1928
Dangerous ghosts.,"O'Donnell, Elliott, 1872-1965.",English,1955
Family ghosts and ghostly phenomena,"O'Donnell, Elliott, 1872-1965.",English,1933
"Ghostly phenomena,","O'Donnell, Elliott, 1872-1965.",English,1910
"Ghosts of London,","O'Donnell, Elliott, 1872-1965.",English,1932
Haunted highways and byways,"O'Donnell, Elliott, 1872-1965.",English,1914
"Haunted places in England,","O'Donnell, Elliott, 1872-1965.",English,1919
"Scottish ghost stories,","O'Donnell, Elliott, 1872-1965.",English,1911
"Spuk in Hellbrunn : Historie und Mystik, Vergangenheit und Gegenwart in Wort und Bild","Peternell, Pert.",German,1949
